#{"t_start": 1691653022.79223, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
160.0,2141,2718.431518
520.0,4307,2724.042235
685.0,4093,2741.566568
330.0,3112,2745.798601
215.0,2181,2748.450998
300.0,2525,2751.927391
275.0,2359,2755.107313
705.0,4389,2761.022287
270.0,2363,2764.193818
440.0,4789,2770.70711
550.0,3578,2775.498574
505.0,3161,2779.865387
425.0,3948,2785.093712
345.0,2725,2788.576891
490.0,3377,2792.874032
230.0,2299,2795.940218
275.0,2839,2799.655607
370.0,3198,2803.810014
210.0,3081,2807.79517
390.0,3079,2811.833492
350.0,3485,2816.595247
350.0,2543,2819.950214
205.0,2565,2823.089804
155.0,2003,2825.645113
375.0,3545,2830.132205
175.0,1777,2832.5001
455.0,3199,2837.000035
260.0,3277,2840.976588
465.0,3127,2845.312872
445.0,3633,2850.058954
680.0,4225,2855.700248
775.0,5205,2862.78098
515.0,2156,2865.433135
255.0,2609,2868.960052
440.0,3409,2873.596697
770.0,5389,2892.917722
600.0,4581,2898.712767
575.0,4194,2904.261201
445.0,4209,2909.89303
900.0,4489,2915.814015
370.0,3283,2920.299034
440.0,3271,2924.745719
490.0,3831,2929.812231
485.0,3345,2934.118996
805.0,4507,2939.696539
170.0,1935,2942.03897
680.0,3371,2946.458967
725.0,3713,2951.237572
390.0,3249,2955.464304
835.0,5381,2962.373895
180.0,2593,2965.722908
395.0,3185,2969.918822
690.0,3939,2975.002568
745.0,5123,2981.568825
450.0,4545,2987.433121
720.0,4649,2993.713667
480.0,4131,2999.343632
575.0,4805,3005.388863
740.0,3672,3010.250297
545.0,4311,3015.787365
605.0,4529,3033.904424
710.0,3215,3038.178868
465.0,4047,3043.463876
345.0,2597,3046.859054
480.0,3233,3051.23048
555.0,3381,3055.731161
560.0,4451,3061.572169
515.0,2781,3065.285679
665.0,3979,3070.367818
395.0,3645,3075.285898
475.0,4093,3080.452404
285.0,3181,3084.693919
470.0,3691,3089.462032
575.0,4568,3095.334378
250.0,2269,3098.401124
215.0,2091,3100.890896
690.0,2796,3104.855266
630.0,4466,3110.723089
525.0,3219,3114.672013
325.0,2726,3118.104358
475.0,3071,3122.09894
285.0,2653,3125.610482
500.0,4091,3130.80029
290.0,2781,3134.93039
445.0,3757,3139.580506
380.0,3661,3144.471777
605.0,3679,3149.008323
430.0,2839,3152.625691
350.0,3629,3157.275096
175.0,1949,3159.723075
525.0,3477,3171.872433
415.0,3023,3175.824135
320.0,2543,3179.094953
300.0,2829,3182.963292
425.0,4218,3188.235932
695.0,4103,3193.627378
395.0,2613,3196.892447
390.0,2796,3200.737578
645.0,4219,3206.002352
440.0,3101,3209.971627
435.0,2800,3213.692662
460.0,3651,3218.543674
425.0,3701,3223.209956
560.0,3233,3227.306382
475.0,2631,3230.870309
310.0,2569,3234.37255
645.0,3081,3238.343889
470.0,3585,3243.247514
470.0,3721,3248.247663
325.0,2519,3251.577631
320.0,3175,3255.582606
385.0,3085,3259.675526
475.0,3873,3264.96596
555.0,3942,3269.930736
375.0,2541,3273.056315
400.0,2767,3276.725749
390.0,2113,3279.455888
575.0,3567,3283.925948
165.0,2311,3286.945476
540.0,2603,3290.40351
400.0,3937,3295.270556
335.0,3511,3299.660852
320.0,2799,3318.566952
520.0,4021,3323.685699
800.0,4383,3329.485861
375.0,3194,3333.70707
600.0,4041,3339.055618
525.0,4093,3344.519336
290.0,2669,3348.030479
655.0,2979,3351.983903
400.0,2391,3355.126729
440.0,3083,3359.08553
350.0,3253,3363.275885
595.0,3501,3367.805459
800.0,6985,3377.0184
805.0,6149,3384.866804
355.0,2741,3388.73803
360.0,2873,3392.380857
320.0,2539,3395.725582
300.0,3051,3399.785398
355.0,2963,3403.820529
580.0,2789,3407.495508
410.0,3253,3411.77482
355.0,2789,3415.350693
385.0,3905,3420.695762
605.0,4093,3425.725767
455.0,4175,3431.465676
600.0,4581,3437.430676
605.0,4051,3442.865598
550.0,4209,3448.349998
580.0,3123,3465.414254
350.0,2867,3469.049233
525.0,4629,3474.739505
540.0,4034,3480.075268
360.0,2873,3483.888404
915.0,6983,3493.092065
455.0,4261,3498.670252
410.0,3405,3503.058826
470.0,3437,3507.454198
